Model_ID,Imitation,Shield_Active,Shield_Dist,Reward_Active,Reward_Dist,Total_Steps_Planned,Step,Deaths,Reward_Accumulated,Efficiency,PPM,Interventions,Penalties
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,180000,864,75896.84375,0.4216491281986236,87.84356689453125,21311,26640
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,190000,908,82135.8203125,0.4322938024997711,90.45795440673828,22352,27917
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,200000,953,87015.1640625,0.4350758194923401,91.30657196044922,23463,29419
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,210000,996,93945.9140625,0.4473614990711212,94.32320404052734,24606,30856
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,220000,1035,100253.765625,0.4556989371776581,96.86354064941406,25589,32067
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,230000,1075,105655.3125,0.4593709111213684,98.28401184082033,26571,33329
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,240000,1119,112253.1796875,0.4677215814590454,100.31562042236328,27648,34744
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,250000,1167,117480.5703125,0.46992227435112,100.66886901855467,28776,36134
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,260000,1207,122757.1171875,0.47214275598526,101.7043228149414,29733,37336
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,270000,1249,128190.7109375,0.474780410528183,102.63467407226562,30769,38660
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,280000,1294,134358.890625,0.4798531830310821,103.83222198486328,31853,40018
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,290000,1339,140668.421875,0.4850635230541229,105.0548324584961,32997,41462
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,300000,1383,147032.953125,0.4901098310947418,106.3144989013672,34134,42846
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,310000,1426,153242.671875,0.4943312108516693,107.46330261230467,35222,44256
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,320000,1472,159862.28125,0.4995696246623993,108.6020965576172,36346,45673
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,330000,1522,165659.109375,0.5019972920417786,108.8430404663086,37547,47144
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,340000,1566,171517.6875,0.504463791847229,109.5259780883789,38583,48496
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,350000,1611,177578.03125,0.5073658227920532,110.22844696044922,39656,49825
